epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,112.418,0.49192,0.51449,0.95361,1,0.56224,0.60993,0.42923,1.37462,1.78347,1.25095,0.0600024,2.416e-06,2.416e-06
42,115.74,0.61064,0.54762,1.049,1,0.59527,0.66722,0.43947,1.31007,1.63602,1.1971,0.0590024,2.43581e-06,2.43581e-06
43,118.672,0.40201,0.3835,0.89486,0.96259,0.6,0.73944,0.46253,1.24545,1.54582,1.15088,0.0580025,2.45364e-06,2.45364e-06
44,121.567,0.65953,0.58054,1.06819,0.9593,0.6,0.795,0.49611,1.16023,1.49278,1.11314,0.0570025,2.46949e-06,2.46949e-06
45,124.612,0.48411,0.38191,0.87752,0.96076,0.6,0.81722,0.52947,1.11142,1.42545,1.06946,0.0560025,2.48336e-06,2.48336e-06
46,127.54,0.53303,0.48262,0.9723,0.96513,0.6,0.845,0.5569,1.07051,1.3711,1.03048,0.0550025,2.49525e-06,2.49525e-06
47,130.537,0.50803,0.43979,0.96113,0.96679,0.6,0.845,0.57688,1.0805,1.34357,1.01368,0.0540025,2.50516e-06,2.50516e-06
48,133.541,0.44969,0.33967,0.91934,0.96803,0.6,0.85333,0.57258,1.06609,1.31966,1.00039,0.0530025,2.51309e-06,2.51309e-06
49,136.483,0.5475,0.46733,1.00658,0.9689,0.6,0.88071,0.58916,1.04993,1.31264,0.99558,0.0520025,2.51904e-06,2.51904e-06
50,139.431,0.49512,0.42406,0.98014,0.97073,0.6,0.88071,0.60196,1.0853,1.26399,0.99092,0.0510025,2.52301e-06,2.52301e-06
51,142.68,0.49267,0.41543,0.93748,0.97078,0.6,0.88071,0.61746,1.08061,1.23327,0.98403,0.0500025,2.525e-06,2.525e-06
